X;Y;ID;NOMBRE;TIPO;TIPO_NORMA;SEDE;DIRECCION;OBSERVACIONES_DIRECCION;TELEFONO;E_MAIL;FACEBOOK;WEB;ACTIVIDADE;INSTALACIO;CALLE;ALTURA;CALLE2;DIRECCION_;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58.4734613240054;-34.611275146971;143;ASOCIACION VECINAL VILLA GENERAL MITRE, BIBLIOTECA POPULAR CIENCIA Y LABOR;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;GRAL. CESAR DIAZ 2451;;4582-9779;CIENCIAYLABOR@GMAIL.COM;BIBLIOTECA CIENCIA Y LABOR - PAGINA OFICIAL CLUB SOCIAL;;BABY, TAEKWONDO, SALSA, TANGO, FOLKLORE, RITMOS LATINOS, DANZA JAZZ, PATIN, FUTBOL FEMENINO. ACTIVIDADES CULTURALES.;1 CANCHA Y 2 SALONES;DIAZ, CESAR, GRAL.;2451;;DIAZ, CESAR, GRAL. 2451;VILLA GRAL. MITRE;COMUNA 11;1416;C1416DVU
-58.5225472755198;-34.6260015404845;81;ATENEO POPULAR VERSAILLES;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;ROMA 950;;4641-0112;NUEVOAPV@YAHOO.COM.AR;;WWW.ATENEOVERSAILLES.COM.AR;BABY, VOLEY, GIMNASIA, ARTES MARCIALES, DANZA, CESTOBAL, NATACION, TENIS, BOXEO.;BIBLIOTECA - NATATORIOS - CANCHAS - SALONES;ROMA;950;;ROMA 950;VERSALLES;COMUNA 10;1408;C1408BZJ
-58.4485204530849;-34.595102936907;87;ATLANTA;CLUB;CLUB;UNICA;HUMBOLDT 374;;4856-5999;CLUB_ATLANTA@HOTMAIL.COM;;;BABY FUTBOL, FUTSAL, BOXEO, ARTES MARCIALES, MUSCULACION, PATIN, FUTBOL 11, VOLEY, BASQUET.;NATATORIOS - SALONES - CANCHAS - BIBLIOTECAS;HUMBOLDT;374;;HUMBOLDT 374;VILLA CRESPO;COMUNA 15;1414;C1414CSH
-58.4609565502194;-34.6513149255344;174;ATLETICO HURACAN;CLUB;CLUB;ANEXO 2  LA QUEMITA;MARIANO ACOSTA 1981;;4637-6395;;CLUB ATLETICO HURACAN;WWW.CAHURACAN.COM;TAEKWONDO, VOLEY, PATIN, BASKET, FUTSAL, BOXEO, GIMNASIA AEROBICA Y ARTISTICA, HANDBOL, HOCKEY (SOBRE CESPED - SOBRE PATINES), TANGO, NATACION, FUTBOL PROFESIONAL Y FUTBOL AMATEUR. ACTIVIDADES CULTURALES. COLONIA DE VACACIONES.;LA QUEMITA, CUENTA CON 8 CANCHAS DE FUTBOL, EN LAS CUALES ENTRENAN EL PRIMER EQUIPO Y LAS DIVISIONES INFERIORES, QUE TAMBIEN JUEGAN SUS PARTIDOS DE LOCAL ALLI. ENTRE OTRAS INSTALACIONES, SE ENCUENTRAN: UNA CANCHA DE HOCKEY SOBRE CESPED, CANCHA DE TENIS D;ACOSTA, MARIANO;1981;;ACOSTA, MARIANO 1981;FLORES;COMUNA 7;1407;C1407KCM
-58.3971445980168;-34.6432083595077;173;ATLETICO HURACAN;CLUB;CLUB;ANEXO 1 ESTADIO DUCO;AMANCIO ALCORTA 2570;;4942-1965;;CLUB ATLETICO HURACAN;WWW.CAHURACAN.COM;TAEKWONDO, VOLEY, PATIN, BASKET, FUTSAL, BOXEO, GIMNASIA AEROBICA Y ARTISTICA, HANDBOL, HOCKEY (SOBRE CESPED - SOBRE PATINES), TANGO, NATACION, FUTBOL PROFESIONAL Y FUTBOL AMATEUR. ACTIVIDADES CULTURALES. COLONIA DE VACACIONES.;ESTADIO TOMAS A. DUCO, LLAMADO ASI POR QUIEN FUE EL IMPULSOR DE SU CONSTRUCCION, FUE DECLARADO POR LA LEGISLATURA COMO PATRIMONIO HISTORICO Y DE DEFENSA ESTRUCTURAL DE LA CIUDAD DE BUENOS AIRES, EN EL AÑO 2007 BAJO EL NUMERO DE EXPEDIENTE 62.548. // CAPA;ALCORTA, AMANCIO AV.;2570;;ALCORTA, AMANCIO AV. 2570;PARQUE PATRICIOS;COMUNA 4;1437;C1437HTN
-58.4084729227708;-34.6374364368723;172;ATLETICO HURACAN;CLUB;CLUB;CENTRAL SEDE SOCIAL;AVDA. CASEROS 3159;;4911-9313/4719/6713;;CLUB ATLETICO HURACAN;WWW.CAHURACAN.COM;TAEKWONDO, VOLEY, PATIN, BASKET, FUTSAL, BOXEO, GIMNASIA AEROBICA Y ARTISTICA, HANDBOL, HOCKEY (SOBRE CESPED - SOBRE PATINES), TANGO, NATACION, FUTBOL PROFESIONAL Y FUTBOL AMATEUR. ACTIVIDADES CULTURALES. COLONIA DE VACACIONES.;;CASEROS AV.;3159;;CASEROS AV. 3159;PARQUE PATRICIOS;COMUNA 4;1263;C1263AAA
-58.4595858940217;-34.6034211900076;35;ATLETICO LA PATERNAL;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;FRAGATA SARMIENTO 1951;;4581-2558;CALAPATERNAL@HOTMAIL.COM;;;FUTBOL, PALETA, TAEKWONDO, PATIN ARTISTICO, MUAY THAI, ROLLER DERBY Y VOLEY;CANCHA - SALONES;FRAGATA PRES. SARMIENTO;1951;;FRAGATA PRES. SARMIENTO 1951;PATERNAL;COMUNA 15;1416;C1416CBQ
-58.4774263688278;-34.6782617328716;67;ATLETICO LUGANO;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;CAFAYATE 4155;;4602-0196 Y 4601-8214;CLUBLUGANO@TELECENTRO.COM.AR;;;BABY, BASQUET, VOLEY, HANDBOL, GIMNASIA AEROBICA, INICIACION DEPORTIVA.;CANCHA - SALONES;CAFAYATE;4155;;CAFAYATE 4155;VILLA LUGANO;COMUNA 8;1439;C1439FUC
-58.3738637682553;-34.6476130802853;72;BARRACAS JUNIORS;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;GRAL HORNOS 1850;;4301-7285  4301-0948;BARRACASJUNIORS@YAHOO.COM;;;TENIS, PADEL, FUTBOL, TAEKWONDO, GIMNASIA FEMENINA. ACADEMIAS INFANTILES DE TENIS, BASQUET Y FUTBOL. ACTIVIDADES CULTURALES.;CANCHAS - SALONES - GIMNASIO;HORNOS, GRAL.;1850;;HORNOS, GRAL. 1850;BARRACAS;COMUNA 4;1272;C1272AEB
-58.4471937229895;-34.5614990875682;153;BELGRANO;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;ARRIBEÑOS 1701;;4784-8180   4787-2680;CLUBBELGRANO@FIBERTEL.COM.AR;;WWW.CLUBBELGRANO.ORG.AR;FUTBOL, GIMNASIO, BRIDGE, PELOTA PALETA, NATACION EN VERANO, TENIS, PADDLE, SQUASH.;1 CANCHA DE FUTBOL PAPI FUTBOL;ARRIBEÑOS;1701;;ARRIBEÑOS 1701;BELGRANO;COMUNA 13;1426;C1426BLK
-58.4907981692661;-34.5919090463546;37;BIBLIOTECA GENERAL ARTIGAS;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;NAVARRO 2544;;4575-4459 / 4571-1370;ARTIGASCLUB@GMAIL.COM;BIBLIOTECA GENERAL ARTIGAS (OFICIAL);;BABY FUTBOL, PATIN, TAEKWONDO, MUSCULACION, VOLEY, GIMNASIA, TANGO;CANCHA - SALONES - GIMNASIO - BIBLIOTECA;NAVARRO;2544;;NAVARRO 2544;AGRONOMIA;COMUNA 15;1419;C1419HSJ
-58.5060188361339;-34.6670991899038;226;BIBLIOTECA Y ASOCIACION VECINAL DE FOMENTO NUEVA CHICAGO;CLUB DE BARRIO;CLUB_DE_BARRIO;;AV. DE LOS CORRALES 7201;;4686-6151;;;;BABY, PATIN, GIMNASIA, DANZA, OTROS;1 CANCHA, 1 SALON;DE LOS CORRALES AV.;7201;;DE LOS CORRALES AV. 7201;MATADEROS;COMUNA 9;1440;C1440BBI
-58.4161727685791;-34.5878774640264;97;BOCHIN CLUB;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;JULIAN ALVAREZ 2355;;4823-7507;CLUBELBOCHIN@GMAIL.COM;;;PELOTA PALETA, ARQUERIA, YOGA. ACTIVIDADES CULTURALES.;CANCHAS - SALONES;ALVAREZ, JULIAN;2355;;ALVAREZ, JULIAN 2355;PALERMO;COMUNA 14;1425;C1425DHI
-58.421446702925;-34.6052623171448;158;BOEDO BILLAR CLUB;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;MEDRANO 468;;4982-6307/6545;BOEDOBILLARCLUB@FIBERTEL.COM.AR;;;BILLAR;2 SALONES;MEDRANO AV.;468;;MEDRANO AV. 468;ALMAGRO;COMUNA 5;1179;C1179AAH
-58.5223008357314;-34.6536700912009;20;BRISAS DE LINIERS;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;MONTIEL 1374;O MONTIEL 1382;4644-3552;;;;BABY, ARTES MARCIALES, GIMNASIA, YOGA;SALON - CANCHA;MONTIEL;1374;;MONTIEL 1374;LINIERS;COMUNA 9;1408;C1408FWB
-58.483839546353;-34.6548725078182;60;BRISAS DEL SUD;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;GUARDIA NACIONAL 1956;;4635-1444;;;;FUTBOL, PATIN,VOLEY, NATACION CUBIERTA Y DESCUBIERTA, GIMNASIA ADULTOS E INFANTIL, ARTES MARCIALES, GIM DEPORTIVA. ACTIVIDADES CULTURALES.;CANCHA - GIMNASIO -  SALONES -  NATATORIOS;GUARDIA NACIONAL;1956;;GUARDIA NACIONAL 1956;MATADEROS;COMUNA 9;1440;C1440DUF
-58.4166603683439;-34.6272103199601;78;BUENOS AIRES SUR;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;COCHABAMBA 3650;;4956-0487  (DESDE LAS 17.30 HS);;CLUB BUENOS AIRES SUR;;FUTBOL INFANTIL (FAFI, FEFI Y ESCUELITA), VOLEY FEMENINO (ADULTAS) Y TAEKWONDO (INFANTIL Y ADULTOS);CANCHAS - SALON;COCHABAMBA;3650;;COCHABAMBA 3650;BOEDO;COMUNA 5;1252;C1252ABL
-58.4525809158514;-34.6176314913306;128;CABALLITO JUNIORS;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;NICASIO OROÑO 566;;4431-9600;CABALLITO566@HOTMAIL.COM;;;FUTBOL (ESCUELITA Y FAFI), FUTSAL (AFA), GIMNASIA POSTURAL, GIMNASIA DEPORTIVA Y TAEKWONDO.;2 CANCHAS - 1 SALON;OROÑO, NICASIO;566;;OROÑO, NICASIO 566;CABALLITO;COMUNA 6;1405;C1405AQD
-58.395591750365;-34.6521299699141;191;CACHO LABORDE;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;LUNA 1547;;;;;;FUTBOL INFANTIL Y JUVENIL DE 4 A 14 AÑOS, FUTBOL PARA ADULTOS. ACTIVIDADES CULTURALES.;CANCHA DE FUTBOL 11 - SUM;LUNA;1547;;LUNA 1547;BARRACAS;COMUNA 4;1437;C1437FFI
-58.4963322143621;-34.5679299825083;129;CALIFORNIA;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;ANDONAEGUI 3347;;4541-9670;;;;BABY FUTBOL, PATIN, VOLEY, TAEKWONDO, PILATES.;1 CANCHA - 1 SALON;ANDONAEGUI;3347;;ANDONAEGUI 3347;VILLA URQUIZA;COMUNA 12;1431;C1431DWS
-58.4458777559323;-34.5972587910709;119;CAPOEIRA;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;PADILLA 1008;;4857-2851;EVENTOS@CAPOEIRA.COM;;WWW.CAPOEIRA.COM.AR;BABY, BASKET, GIMNASIA DEPORTIVA, TANGO, HOCKEY, TENIS.;CANCHAS - SALONES - NATATORIO;PADILLA;1008;;PADILLA 1008;VILLA CRESPO;COMUNA 15;1414;C1414AGR
-58.3657018006079;-34.6270802577231;201;CATALINAS SUR ASOCIACION;CLUB;CLUB;;PI Y MARGAL 671;;4300-5159;;;;FUTSAL, PADEL, NATACION;2 NATATORIOS, 3 CANCHAS Y 2 SALONES;PI Y MARGALL;671;;PI Y MARGALL 671;BOCA;COMUNA 4;1155;C1155AHA
-58.3842574576771;-34.6086123945335;296;CENTRO ANDINO BUENOS AIRES;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;RIVADAVIA 1255;;4381-1566;INFO@CABA.ORG.AR;;WWW.CABA.ORG.AR;BOULDER Y PALESTRA;;RIVADAVIA AV;1255;;RIVADAVIA AV. 1255;SAN NICOLAS;COMUNA 1;1033;C1033AAC
-58.4492171023987;-34.6034961734065;277;CENTRO COMUNITARIO KADIMA;CLUB;CLUB;SEDE ADMINISTRATIVA - PREDIO DEPORTIVO EN MORENO;HONORIO PUEYRREDON 1552;PISO 7 DPTO C;4586-4829;;;;FUTBOL, AEROBIC, TENIS, YOGA;CANCHA - NATATORIO;PUEYRREDON, HONORIO, DR. AV.;1552;;PUEYRREDON, HONORIO, DR. AV. 1552;VILLA CRESPO;COMUNA 15;1414;C1414CER
-58.418275123301;-34.6148667297669;2;CENTRO NAVARRO DE BUENOS AIRES;CLUB DE BARRIO;CLUB_DE_BARRIO;;MORENO 3682;;4932-7518;CENTRONAVARRO@FIBERTEL.COM.AR;CENTRO NAVARRO DE BUENOS AIRES ORGANIZACION;WWW.CENTRONAVARRO.ORG;PELOTA PALETA, DANZAS NAVARRAS, TAEKWONDO. ACTIVIDADES CULTURALES.;1 CANCHA - 1 SALON - BIBLIOTECA;MORENO;3682;;MORENO 3682;ALMAGRO;COMUNA 5;1209;C1209ABR
-58.4611575609719;-34.5397438216586;267;CENTRO RECREATIVO MUNICIPAL;CLUB DE BARRIO;CLUB_DE_BARRIO;;C. RIVADAVIA 1350;;4702-2409/8299 Y 4701-3196;;;;;PARQUE DE 7 HECTAREAS, SECTOR DE CAMPING CON QUINCHOS, PARRILLAS, CAMPOS DE DEPORTES, CANCHAS DE FUTBOL, VOLEY, CANCHAS DE TENIS DE POLVO DE LADRILLO,  PISCINA Y SOLARIUM. 2 SALONES.;RIVADAVIA MARTIN, COMODORO;1350;;RIVADAVIA MARTIN, COMODORO 1350;NUÑEZ;COMUNA 13;1429;C1429DBP
-58.4919585502293;-34.6415097815802;295;CENTRO RECREATIVO TOQUE Y TOQUE;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;ZELADA 4642;;;;;TOQUE Y TOQUE FC;FUTBOL INFANTIL COMPETITIVO (F.E.F.I) CON PARTICIPACION DE 150 NIÑOS DE 4 A 12 AÑOS - FUTBOL INFANTIL RECREATIVO Y FORMATIVO (AEFI) CON PARTICIPACION DE 200 NIÑOS DE 4 A 18 AÑOS;;ZELADA;4642;;ZELADA 4642;VILLA LURO;COMUNA 10;1407;C1407GXF
-58.4249518753461;-34.6586873593632;56;CHARRUA;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;CHARRUA  3536;;4919-2648;;;;DEFENSA PERSONAL;SALON;CHARRUA;3536;;CHARRUA 3536;NUEVA POMPEYA;COMUNA 4;1437;C1437AZN
-58.438872244175;-34.5911296364412;40;CICLISTA NACION;CLUB DE BARRIO;CLUB_DE_BARRIO;SEDE ADMINISTRATIVA;GODOY CRUZ 1209;;4777-3232;CLUBCICLISTANACION@YAHOO.COM.AR;;;ACTIVIDADES DE CICLISMO, COMPETENCIAS DE CICLISMO CLASICAS. CRITERIUM DE APERTURA QUE INICIA LA ACTIVIDAD DE TEMPORADA DE RUTA, CUYA PRUEBA MAS IMPORTANTE ES LA DOBLE BRAGADO.;SIN INSTALACIONES.;GODOY CRUZ;1209;;GODOY CRUZ 1209;VILLA CRESPO;COMUNA 15;1414;C1414CYA
-58.4951508125014;-34.6396015767117;242;CIRCULO  SOCIAL VALLE  MIÑOR;CLUB DE BARRIO;CLUB_DE_BARRIO;;RAFAELA 4840;;4683-3693;VALMINIOR@YAHOO.COM.AR;CIRCULO SOCIAL VALLE MIÑOR GRUPO PUBLICO;WWW.VALMINIOR.COM.AR;BOLOS CELTAS, TAI CHI, BIODANZA, DANZAS GALLEGAS, FLAMENCO. ACTIVIDADES CULTURALES.;;RAFAELA;4840;;RAFAELA 4840;VILLA LURO;COMUNA 10;1407;C1407GVB
-58.5201898866446;-34.6022647957642;246;CIRCULO CATOLICO DE OBREROS DE VILLA DEVOTO;CLUB DE BARRIO;CLUB_DE_BARRIO;;HABANA 4568;;4501-3839;;;;BABY FUTBOL, GIMNASIA, ARTES MARCIALES, TENIS;CANCHAS, 2 SALONES, 2 NATATORIOS (UNO PARA NIÑOS) CLIMATIZADOS;HABANA;4568;;HABANA 4568;VILLA DEVOTO;COMUNA 11;1419;C1419GRR
-58.4141329130848;-34.6031227944128;32;CIRCULO DE AJEDREZ TORRE BLANCA;CLUB DE BARRIO;CLUB_DE_BARRIO;;SANCHEZ DE BUSTAMANTE 587;;4862-3161;CIRCULOTORREBLANCA@FIBERTEL.COM.AR;;;AJEDREZ;;SANCHEZ DE BUSTAMANTE;587;;SANCHEZ DE BUSTAMANTE 587;ALMAGRO;COMUNA 5;1173;C1173ABI
-58.5116931478199;-34.6020638779544;152;CIRCULO DE VILLA DEVOTO;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;PEDRO MORAN  4151;;4501-0501;CIRCULO@FIBERTEL.COM.AR;;WWW.CIRCULO-DEVOTO.COM.AR;FUTBOL INFANTIL, FUTBOL 11 (JUVENILES), HANDBALL, PATIN, TAEKWONDO, GIMNASIA RITMICA, ESCUELA DE TENIS, MUSCULACION, GIMNASIA PARA DAMAS (AEROLOCAL, LOCALIZADA Y FUNCIONAL), INDOOR, PILATES, AJEDREZ, ESTIMULACION DEPORTIVA. ACTIVIDADES CULTURALES.;3 CANCHAS - 1 SALON - NATATORIO;MORAN, PEDRO;4151;;MORAN, PEDRO 4151;VILLA DEVOTO;COMUNA 11;1419;C1419HLA
-58.4690966546345;-34.5943848622373;92;CIRCULO LA PATERNAL;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;PAZ SOLDAN 5035;;4553-4137;CIRCULOLAPATERNAL@HOTMAIL.COM;CIRCULO LA PATERNAL;;BABY, PATIN, VOLEY, GIMNASIA, ARTES MARCIALES, PELOTA PALETA, FUTBOL FEMENINO, FUTBOL MASCULINO INFANTIL. ARTES MARCIALES, GIMNASIA, MMA (ARTES MARCIALES MIXTAS COMBINADAS CON GIMNASIA), ENTRENAMIENTO FUNCIONAL CON APARATOS. DANZAS, INICIACION A DANZA CL;CANCHAS - SALONES;PAZ SOLDAN;5035;;PAZ SOLDAN 5035;PATERNAL;COMUNA 15;1427;C1427DSG
-58.4150685357695;-34.6270298457084;187;CIRCULO MARTIN FIERRO;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;COCHABAMBA 3536;;4932-7362;;CIRCULO MARTIN FIERRO (GRUPO PUBLICO);;BABY, FUTSAL, VOLEY, HANDBOL;1 CANCHA DE FUTBOL 24X17M;COCHABAMBA;3536;;COCHABAMBA 3536;BOEDO;COMUNA 5;1252;C1252ABJ
-58.462968104885;-34.5361398883746;14;CIRCULO POLICIA FEDERAL;CLUB;CLUB;SEDE CRIO. GRAL. R. O. SCHULLER;SANTIAGO DE CALZADILLA 1350;;;INFO@CPF.ORG.AR;CLUB CIRCULO POLICIA FEDERAL;WWW.CPF.ORG.AR;FUTSAL, PATIN, VOLEY, HOCKEY, NATACION, ARTES MARCIALES;4 NATATORIOS (1 CUBIERTO) - 2  CANCHAS - 4 SALONES;CALZADILLA, SANTIAGO;1350;;CALZADILLA, SANTIAGO 1350;NUÑEZ;COMUNA 13;1429;C1429ECB
-58.461851423574;-34.5425383491321;269;CIRCULO POLICIA FEDERAL;CLUB;CLUB;SEDE CAMPO LIBERTADOR;AV. DEL LIBERTADOR 7801;;4702-2253/9387;INFO@CPF.ORG.AR;CLUB CIRCULO POLICIA FEDERAL;WWW.CPF.ORG.AR;FUTSAL, PATIN, VOLEY, HOCKEY, NATACION, ARTES MARCIALES;4 NATATORIOS (1 CUBIERTO) - 2  CANCHAS - 4 SALONES;DEL LIBERTADOR AV.;7801;;DEL LIBERTADOR AV. 7801;NUÑEZ;COMUNA 13;1429;C1429BML
-58.3735998027628;-34.6038076278375;1;CIRCULO POLICIA FEDERAL;CLUB;CLUB;SEDE SOCIAL;SAN MARTIN 353;;4394-2409;INFO@CPF.ORG.AR - CPF@IPLNMAIL.COM.AR;CLUB CIRCULO POLICIA FEDERAL;WWW.CPF.ORG.AR;FUTSAL, PATIN, VOLEY, HOCKEY, NATACION, ARTES MARCIALES;4 NATATORIOS (1 CUBIERTO) - 2  CANCHAS - 4 SALONES;SAN MARTIN;353;;SAN MARTIN 353;SAN NICOLAS;COMUNA 1;1004;C1004AAG
-58.4825191526688;-34.6369298146418;241;CIRCULO RECREATIVO LA TREVISANA ASOCIACION DE RECREACION Y CULTURA;CLUB DE BARRIO;CLUB_DE_BARRIO;;BENEDETTI 195;;4601-3211;;;;GIMNASIA, GIMNASIA DEPORTIVA, BOCHAS;1 SALON - CANCHA DE BOCHAS;BENEDETTI, OSVALDO E., DIP.NAC.;195;;BENEDETTI, OSVALDO E., DIP.NAC. 195;VELEZ SARSFIELD;COMUNA 10;1407;C1407JUC
-58.479294607448;-34.6282181516721;234;CIRCULO SOCIAL HEBREO ARGENTINO;CLUB;CLUB;;AVELLANEDA 3545;;4671-5234;INFORMES@CSHA.ORG.AR;CSHA UNA PASION;WWW.CSHA.ORG.AR;BABY, FUTSAL, BASQUET, PATIN, VOLEY, ARTES MARCIALES. ACTIVIDADES CULTURALES.;2 CANCHAS - 1 SALON;AVELLANEDA AV.;3545;;AVELLANEDA AV. 3545;FLORESTA;COMUNA 10;1407;C1407EJC
-58.4793045243461;-34.5878881524169;50;CIRCULO SOCIAL VERTIZ;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;ANDONAEGUI 1246;;4521-3580;;;;FUTSAL, GIMNASIA DEPORTIVA, ARTES MARCIALES: KARATE, KICKBOX, WINSHU. GIMNASIA, RITMOS LATINOS, VOLEY. DANZA PARA NIÑAS, ESFEROTERAPIA, STRECHING, YOGA. APOYO ESCOLAR, PINTURA, CENTRO DE JUBILADOS.;SALON - CANCHA - GIMNASIO;ANDONAEGUI;1246;;ANDONAEGUI 1246;PARQUE CHAS;COMUNA 15;1427;C1427BEH
-58.4028147822339;-34.6131590729385;3;CIRCULO SOCIAL Y DEPORTIVO DEL ONCE;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;MORENO 2583;O MORENO 2587;4942-4443;;CIRCULO DEL ONCE;;BILLAR, TAEKWONDO, PESCA DEPORTIVA, YOGA, RELAJACION, KUNG FU, BACKGAMMON, AJEDREZ.;3 SALONES;MORENO;2583;;MORENO 2583;BALVANERA;COMUNA 3;1094;C1094ABO
-58.4900534035812;-34.5749927774266;122;CIRCULO URQUIZA;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;F. D. ROOSEVELT 5345;;4521-8873  4523-7506;;;WWW.CGUNATACION.COM.AR;PELOTA PALETA, BASQUET MASCULINO, VOLEY FEMENINO, TAEKWONDO, GIMNASIA ARTISTICA, PATIN, GIMNASIO APARATOS, YOGA, DANZAS ORIENTALES, GIMNASIA AEROBICA, NATACION, GIMNASIA ACROBATICA.;CANCHAS - SALONES - NATATORIO;ROOSEVELT FRANKLIN D. AV.;5345;;ROOSEVELT FRANKLIN D. AV. 5345;VILLA URQUIZA;COMUNA 12;1431;C1431BZK
-58.3938890681049;-34.5988926298655;148;CLUB ARGENTINO DE AJEDREZ;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;PARAGUAY 1858;;4811-9412;CLUB@ARGENTINODEAJEDREZ.ORG.AR;CLUB ARGENTINO DE AJEDREZ - OFICIAL;WWW.WWW.ARGENTINODEAJEDREZ.ORG.AR;AJEDREZ Y GO;BIBLIOTECA - 2 SALONES;PARAGUAY;1858;;PARAGUAY 1858;RECOLETA;COMUNA 2;1121;C1121ABB
-58.4755576917468;-34.6093550730099;244;CLUB ARGENTINO DE CAZA Y PESCA;CLUB DE BARRIO;CLUB_DE_BARRIO;;GRAL. ARTIGAS 1925;;S/T;;;;CAZA Y PESCA;;ARTIGAS, JOSE GERVASIO, GRAL.;1925;;ARTIGAS, JOSE GERVASIO, GRAL. 1925;VILLA GRAL. MITRE;COMUNA 11;1416;C1416AKS
-58.3996982620221;-34.6315054123431;206;CLUB ARTIGUENSES;CLUB DE BARRIO;CLUB_DE_BARRIO;;BRASIL 2546;;4308-0050;;;;BABY, FUTSAL;1 CANCHA;BRASIL;2546;;BRASIL 2546;PARQUE PATRICIOS;COMUNA 4;1260;C1260AAU
-58.4986794656784;-34.6162545888517;236;CLUB ATLETICO ALL BOYS;CLUB;CLUB;ESTADIO ISLAS MALVINAS;ALVAREZ JONTE 4180;;4639-8688;INFO@CAALLBOYS.COM.AR;CAALLBOYS EQUIPO DEPORTIVO;WWW.CAALLBOYS.COM.AR;BABY FUTBOL, FUTSAL, BASQUET, PATIN, VOLEY, GIMNASIA DEPORTIVA, BOXEO, FULL CONTACT. ACTIVIDADES CULTURALES.;;ALVAREZ JONTE AV.;4180;;ALVAREZ JONTE AV. 4180;MONTE CASTRO;COMUNA 10;1407;C1407GOV
-58.4971748453478;-34.6159916978677;237;CLUB ATLETICO ALL BOYS;CLUB;CLUB;CAMPO DE DEPORTES;CHIVILCOY 1951;;4639-8688;INFO@CAALLBOYS.COM.AR;CAALLBOYS EQUIPO DEPORTIVO;WWW.CAALLBOYS.COM.AR;BABY FUTBOL, FUTSAL, BASQUET, PATIN, VOLEY, GIMNASIA DEPORTIVA, BOXEO, FULL CONTACT. ACTIVIDADES CULTURALES.;;CHIVILCOY;1951;;CHIVILCOY 1951;MONTE CASTRO;COMUNA 10;1407;C1407AFK
-58.498414689682;-34.616983811389;235;CLUB ATLETICO ALL BOYS;CLUB;CLUB;SEDE SOCIAL;MERCEDES 1950;;4639-8688;INFO@CAALLBOYS.COM.AR;CAALLBOYS EQUIPO DEPORTIVO;WWW.CAALLBOYS.COM.AR;BABY FUTBOL, FUTSAL, BASQUET, PATIN, VOLEY, GIMNASIA DEPORTIVA, BOXEO, FULL CONTACT. ACTIVIDADES CULTURALES.;2 CANCHAS - SALONES;MERCEDES;1950;;MERCEDES 1950;MONTE CASTRO;COMUNA 10;1407;C1407AIL
-58.4918632623144;-34.6054218126632;245;CLUB ATLETICO BERNASCONI;CLUB DE BARRIO;CLUB_DE_BARRIO;;MARCOS SASTRE 3195;;4501-6462;;;;;;SASTRE, MARCOS;3195;;SASTRE, MARCOS 3195;VILLA DEL PARQUE;COMUNA 11;1417;C1417FYK
-58.3648653228845;-34.6365220029403;202;CLUB ATLETICO BOCA JUNIORS;CLUB;CLUB;;BRANDSEN 805;;4309-4700;CAS@BOCAJUNIORS.COM.AR;;WWW.BOCAJUNIORS.COM.AR;BOXEO, BALON, BOCHAS, BASQUET, VOLEY, FUTSAL, GIMNASIA, PESAS, JUDO, TAEKWONDO, KARATE, LUCHA, ATLETISMO, FUTBOL FEMENINO;;BRANDSEN;805;;BRANDSEN 805;BOCA;COMUNA 4;1161;C1161AAQ
-58.4571021041198;-34.5466220365219;261;CLUB ATLETICO COMERCIO;CLUB DE BARRIO;CLUB_DE_BARRIO;;AV. LIBERTADOR 7199;;4701-5620;CLUBCOMERCIO@CIUDAD.COM.AR;CLUB ATLETICO COMERCIO CLUB DEPORTIVO;;TENIS;10 CANCHAS;DEL LIBERTADOR AV.;7199;;DEL LIBERTADOR AV. 7199;NUÑEZ;COMUNA 13;1429;C1429BME
